name,place_id
Blank Canvas Studios,ChIJpSD0svMo34cRFluIQZ6hHP0
Do-All Inc,ChIJn4VvVRDhI4gRkpaWDoJqgsg
Passion Works Studio,ChIJBZN9XbtzSIgRq5NCxpR695s
Pure Vision Arts,ChIJAQwUHL1ZwokRmzeLa0djIw4
Studio By the Tracks,ChIJtwpRxlMQiYgRrnaKkD--UrE
LAND Studio & Gallery,ChIJ62EYOzFawokRAipnryCcnCc
"Gateway Arts - Studio Art Center, Gallery, and Store",ChIJS0oB8Zd544kRkksu-_fMTG0
The Enrichment Center,ChIJ64CtWU2uU4gRmaWPXX7bP4E
"ECF Art Center Whittier, Suite 300 Gallery and Zine Library",ChIJb7xbzsrVwoARNwbYCJPGM0I
ECF Art Center San Pedro,ChIJA8_6uC423YARyTMIfH_coLc
ECF Downtown Art Center,ChIJgUQMIcvHwoAR8s2zfvJv0_A
ECF Art Center Westside,ChIJ-1TECfu3woARyyWYdLYKLpk
ECF Art Center,ChIJw9OFJXO4woARj6NOM1_1_Lo
Creative Clay,ChIJPYsHmeIEaRQRguov3jDHy_k
Creative Citizen studios,ChIJVVW5HQryNIgReutLJWz0sHQ
Mainstream,ChIJVVVhRhlAjoARoRds0OkEmgE
Arts of Life Inc,ChIJ8bO63TctDogRABWQfog-gbA
Artists First,ChIJcZqmaYnK2IcRta7OFeKZYuI
Tangled Art + Disability,ChIJYw_8V9o0K4gR_BTEF762Gjw
Art Camp Artists studios,ChIJxSrHQ2CxEmsRqLvkqFuo8H8
Arts Project Australia studio,ChIJ6wvpM3JD1moRUJQLbUcYMoM
InsideOut Studio,ChIJuQKPaVVGQIgR8ogpqRYwkdg
Studio ARTES,ChIJ6VlWiYWnEmsRf0bdl8K4HGM
No Limits! Art Castle,ChIJ-UpgRcwJxkcROezxdjNfMlc
KUNSTHAUS KAT18,ChIJzZUrH08kv0cRdoT9AtS0Pfc
ART CRU Gallery,ChIJaxflvpBTqEcRpxThhjph1ak
Mosaik,ChIJtTSRsvpRqEcROwBtfcC-nXQ
Mosaik-Berlin gGmbH - Betriebsstätte Spandau,ChIJW_UYahZWqEcRQPbBQ-bz6jo
Sammlung Prinzhorn,ChIJERwOMB_Bl0cRFpJn310s8MU
Art Enables,ChIJY95ozprHt4kR6I1cTlp9oRQ
Galerie Atelier Herenplaats,ChIJg3PfSl4zxEcRq1sAL0GptAI
atelierblau der Lebenshilfe Worms,ChIJCXDRj4MrlkcRU2e-ZtabBYg
Atelier blau.ART,ChIJQ_jj5JRlmUcRP1jPgsMhhxw
Kreative Werkstatt Lobetal,ChIJlSsQihmxqUcR1TMBOnDpA0U
Bildnerische Werkstatt,ChIJVVUlQAgEsUcRJXSdn2mbaW4
Galerie der Schlumper,ChIJMft2NhWPsUcRM3l44t8WD4w
Projekt Kunst & Psychiatrie Blaumeier e.V.,ChIJDyU7i1MosUcRYoSZxLc8X_o
Galerie Gugging,ChIJyVP3ZiQMbUcRdtaQ2q84ONo
"Kunsthaus Kannen - Alexianer Campus, Münster",ChIJuzClnFivuUcRL3ITBH1fSqY
Live Yes Studio,ChIJG5EhQMe_locRpFrjtr1ZtwU
Creative Growth Art Center,ChIJhxa2I1OHj4ARKsl46I6D7Zk
Atelier Goldstein,ChIJyw3KlBkMvUcRXR9OSynpTN8
